Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,State,Product ID,Category,Sub-Category,Product Name,Sales,Tax,Profit
13,CA-2018-114412,15/04/2018,20/04/2018,标准,AA-10480,个人,安徽省,OFF-PA-10002365,办公用品,纸张,Xerox 1967,15.552,1.24,2.92
14,CA-2017-161389,5/12/2017,10/12/2017,标准,IM-15070,个人,江西省,OFF-BI-10003656,办公用品,文件夹,Fellowes PB200 Plastic Comb Binding Machine,407.976,32.64,77.55
15,US-2016-118983,22/11/2016,26/11/2016,标准,HP-14815,家庭办公,山东省,OFF-AP-10002311,办公用品,家电,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5.5,11.8
16,US-2016-118983,22/11/2016,26/11/2016,标准,HP-14815,家庭办公,山东省,OFF-BI-10000756,办公用品,文件夹,Storex DuraTech Recycled Plastic Frosted Binders,2.544,0.2,0.46
17,CA-2015-105893,11/11/2015,18/11/2015,标准,PK-19075,个人,重庆市,OFF-ST-10004186,办公用品,储存设备,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,53.27,106.9
18,CA-2015-167164,13/05/2015,15/05/2015,二级,AG-10270,个人,青海省,OFF-ST-10000107,办公用品,储存设备,Fellowes Super Stor/Drawer,55.5,4.44,9.55
19,CA-2015-143336,27/08/2015,1/09/2015,二级,ZD-21925,个人,广东省,OFF-AR-10003056,办公用品,艺术品,Newell 341,8.56,0.68,1.67
20,CA-2015-143336,27/08/2015,1/09/2015,二级,ZD-21925,个人,广东省,TEC-PH-10001949,电子产品,电话,Cisco SPA 501G IP Phone,213.48,17.08,29.25
21,CA-2015-143336,27/08/2015,1/09/2015,二级,ZD-21925,个人,广东省,OFF-BI-10002215,办公用品,文件夹,"Wilson Jones Hanging View Binder, White, 1""",22.72,1.82,4
22,CA-2017-137330,9/12/2017,13/12/2017,标准,KB-16585,公司,北京市,OFF-AR-10000246,办公用品,艺术品,Newell 318,19.46,1.56,3.44
23,CA-2017-137330,9/12/2017,13/12/2017,标准,KB-16585,公司,北京市,OFF-AP-10001492,办公用品,家电,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,4.83,10.52
24,US-2018-156909,16/07/2018,18/07/2018,二级,SF-20065,个人,四川省,FUR-CH-10002774,家具,椅子,"Global Deluxe Stacking Chair, Gray",71.372,5.71,15.2
25,CA-2016-106320,25/09/2016,30/09/2016,标准,EB-13870,个人,青海省,FUR-TA-10000577,家具,桌子,Bretford CR4500 Series Slim Rectangular Table,1044.63,83.57,221.43
26,CA-2017-121755,16/01/2017,20/01/2017,二级,EH-13945,个人,广东省,OFF-BI-10001634,办公用品,文件夹,Wilson Jones Active Use Binders,11.648,0.93,1.94
27,CA-2017-121755,16/01/2017,20/01/2017,二级,EH-13945,个人,广东省,TEC-AC-10003027,电子产品,配件,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,7.25,10.58
28,US-2016-150630,17/09/2016,21/09/2016,标准,TB-21520,个人,四川省,FUR-BO-10004834,家具,书柜,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,246.67,664.08
29,US-2016-150630,17/09/2016,21/09/2016,标准,TB-21520,个人,四川省,OFF-BI-10000474,办公用品,文件夹,Avery Recycled Flexi-View Covers for Binding Systems,9.618,0.77,1.75
30,US-2016-150630,17/09/2016,21/09/2016,标准,TB-21520,个人,四川省,FUR-FU-10004848,家具,家具,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,9.94,29.29
31,US-2016-150630,17/09/2016,21/09/2016,标准,TB-21520,个人,四川省,OFF-EN-10001509,办公用品,信封,Poly String Tie Envelopes,3.264,0.26,0.58
32,US-2016-150630,17/09/2016,21/09/2016,标准,TB-21520,个人,四川省,OFF-AR-10004042,办公用品,艺术品,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6.9,15.37
33,US-2016-150630,17/09/2016,21/09/2016,标准,TB-21520,个人,四川省,OFF-BI-10001525,办公用品,文件夹,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,0.55,1.05
34,US-2016-150630,17/09/2016,21/09/2016,标准,TB-21520,个人,四川省,OFF-AR-10001683,办公用品,艺术品,Lumber Crayons,15.76,1.26,2.89
35,CA-2018-107727,19/10/2018,23/10/2018,二级,MA-17560,家庭办公,山东省,OFF-PA-10000249,办公用品,纸张,Easy-staple paper,29.472,2.36,4.94
36,CA-2017-117590,8/12/2017,10/12/2017,一级,GH-14485,公司,山东省,TEC-PH-10004977,电子产品,电话,GE 30524EE4,1097.544,87.8,129.52
37,CA-2017-117590,8/12/2017,10/12/2017,一级,GH-14485,公司,山东省,FUR-FU-10003664,家具,家具,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,15.27,38.69
38,CA-2016-117415,27/12/2016,31/12/2016,标准,SN-20710,家庭办公,山东省,OFF-EN-10002986,办公用品,信封,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9.07,19.59
39,CA-2016-117415,27/12/2016,31/12/2016,标准,SN-20710,家庭办公,山东省,FUR-BO-10002545,家具,书柜,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,42.59,121.41
40,CA-2016-117415,27/12/2016,31/12/2016,标准,SN-20710,家庭办公,山东省,FUR-CH-10004218,家具,椅子,"Global Fabric Manager's Chair, Dark Gray",212.058,16.96,52.21
41,CA-2016-117415,27/12/2016,31/12/2016,标准,SN-20710,家庭办公,山东省,TEC-PH-10000486,电子产品,电话,Plantronics HL10 Handset Lifter,371.168,29.69,39.03
42,CA-2018-120999,10/09/2018,15/09/2018,标准,LC-16930,公司,河北省,TEC-PH-10004093,电子产品,电话,Panasonic Kx-TS550,147.168,11.77,19.81
43,CA-2017-101343,17/07/2017,22/07/2017,标准,RA-19885,公司,广东省,OFF-ST-10003479,办公用品,储存设备,"Eldon Base for stackable storage shelf, platinum",77.88,6.23,14.92
44,CA-2018-139619,19/09/2018,23/09/2018,标准,ES-14080,公司,河南省,OFF-ST-10003282,办公用品,储存设备,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,7.65,18.9
45,CA-2017-118255,11/03/2017,13/03/2017,一级,ON-18715,公司,甘肃省,TEC-AC-10000171,电子产品,配件,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,3.68,5.32
46,CA-2017-118255,11/03/2017,13/03/2017,一级,ON-18715,公司,甘肃省,OFF-BI-10003291,办公用品,文件夹,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,1.4,2.77
47,CA-2015-146703,20/10/2015,25/10/2015,二级,PO-18865,个人,湖北省,OFF-ST-10001713,办公用品,储存设备,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,16.96,34.03
48,CA-2017-169194,20/06/2017,25/06/2017,标准,LH-16900,个人,北京市,TEC-AC-10002167,电子产品,配件,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,45,3.6,5.44
49,CA-2017-169194,20/06/2017,25/06/2017,标准,LH-16900,个人,北京市,TEC-PH-10003988,电子产品,电话,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,1.74,2.6
50,CA-2016-115742,18/04/2016,22/04/2016,标准,DP-13000,个人,黑龙江省,OFF-BI-10004410,办公用品,文件夹,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,3.06,7.47
51,CA-2016-115742,18/04/2016,22/04/2016,标准,DP-13000,个人,黑龙江省,OFF-LA-10002762,办公用品,标签,Avery 485,75.18,6.01,12.18
52,CA-2016-115742,18/04/2016,22/04/2016,标准,DP-13000,个人,黑龙江省,FUR-FU-10001706,家具,家具,Longer-Life Soft White Bulbs,6.16,0.49,1.38
53,CA-2016-115742,18/04/2016,22/04/2016,标准,DP-13000,个人,黑龙江省,FUR-CH-10003061,家具,椅子,"Global Leather Task Chair, Black",89.99,7.2,22.46
54,CA-2017-105816,11/12/2017,17/12/2017,标准,JM-15265,公司,江苏省,OFF-FA-10000304,办公用品,紧固件,Advantus Push Pins,15.26,1.22,2.48
55,CA-2017-105816,11/12/2017,17/12/2017,标准,JM-15265,公司,江苏省,TEC-PH-10002447,电子产品,电话,AT&T CL83451 4-Handset Telephone,1029.95,82.4,103.14
56,CA-2017-111682,17/06/2017,18/06/2017,一级,TB-21055,个人,江苏省,OFF-ST-10000604,办公用品,储存设备,Home/Office Personal File Carts,208.56,16.68,41.35
57,CA-2017-111682,17/06/2017,18/06/2017,一级,TB-21055,个人,江苏省,OFF-PA-10001569,办公用品,纸张,Xerox 232,32.4,2.59,6.28
58,CA-2017-111682,17/06/2017,18/06/2017,一级,TB-21055,个人,江苏省,FUR-CH-10003968,家具,椅子,Novimex Turbo Task Chair,319.41,25.55,73.21
59,CA-2017-111682,17/06/2017,18/06/2017,一级,TB-21055,个人,江苏省,OFF-PA-10000587,办公用品,纸张,"Array Parchment Paper, Assorted Colors",14.56,1.16,2.79
60,CA-2017-111682,17/06/2017,18/06/2017,一级,TB-21055,个人,江苏省,TEC-AC-10002167,电子产品,配件,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,30,2.4,4.38
61,CA-2017-111682,17/06/2017,18/06/2017,一级,TB-21055,个人,江苏省,OFF-BI-10001460,办公用品,文件夹,Plastic Binding Combs,48.48,3.88,8.1
62,CA-2017-111682,17/06/2017,18/06/2017,一级,TB-21055,个人,江苏省,OFF-AR-10001868,办公用品,艺术品,Prang Dustless Chalk Sticks,1.68,0.13,0.28
63,CA-2016-135545,24/11/2016,30/11/2016,标准,KM-16720,个人,广东省,TEC-AC-10004633,电子产品,配件,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,1.12,1.68
64,CA-2016-135545,24/11/2016,30/11/2016,标准,KM-16720,个人,广东省,OFF-BI-10001078,办公用品,文件夹,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,2.07,4.75
65,CA-2016-135545,24/11/2016,30/11/2016,标准,KM-16720,个人,广东省,OFF-PA-10003892,办公用品,纸张,Xerox 1943,146.73,11.74,27.91
66,CA-2016-135545,24/11/2016,30/11/2016,标准,KM-16720,个人,广东省,FUR-FU-10000397,家具,家具,Luxo Economy Swing Arm Lamp,79.76,6.38,16.04
67,US-2016-164175,30/04/2016,5/05/2016,标准,PS-18970,家庭办公,河北省,FUR-CH-10001146,家具,椅子,"Global Value Mid-Back Manager's Chair, Gray",213.115,17.05,47.25
68,CA-2015-106376,5/12/2015,10/12/2015,标准,BS-11590,公司,辽宁省,OFF-AR-10002671,办公用品,艺术品,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,89.04,175.27
69,CA-2015-106376,5/12/2015,10/12/2015,标准,BS-11590,公司,辽宁省,TEC-PH-10002726,电子产品,电话,netTALK DUO VoIP Telephone Service,167.968,13.44,22.15
70,CA-2017-119823,4/06/2017,6/06/2017,一级,KD-16270,个人,云南省,OFF-PA-10000482,办公用品,纸张,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,6.07,14.93
71,CA-2017-106075,18/09/2017,23/09/2017,标准,HM-14980,个人,江苏省,OFF-BI-10004654,办公用品,文件夹,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,0.37,0.85
72,CA-2018-114440,14/09/2018,17/09/2018,二级,TB-21520,个人,湖北省,OFF-PA-10004675,办公用品,纸张,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,1.52,3.66
73,US-2016-134026,26/04/2016,2/05/2016,标准,JE-15745,个人,陕西省,FUR-CH-10000513,家具,椅子,High-Back Leather Manager's Chair,831.936,66.55,173.73
74,US-2016-134026,26/04/2016,2/05/2016,标准,JE-15745,个人,陕西省,FUR-FU-10003708,家具,家具,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,7.76,19.42
75,US-2016-134026,26/04/2016,2/05/2016,标准,JE-15745,个人,陕西省,OFF-ST-10004123,办公用品,储存设备,Safco Industrial Wire Shelving System,72.784,5.82,13.77
76,US-2018-118038,9/12/2018,11/12/2018,一级,KB-16600,公司,山东省,OFF-BI-10004182,办公用品,文件夹,Economy Binders,1.248,0.1,0.2
77,US-2018-118038,9/12/2018,11/12/2018,一级,KB-16600,公司,山东省,FUR-FU-10000260,家具,家具,"6"" Cubicle Wall Clock, Black",9.708,0.78,2
78,US-2018-118038,9/12/2018,11/12/2018,一级,KB-16600,公司,山东省,OFF-ST-10000615,办公用品,储存设备,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,2.18,4.92
79,US-2015-147606,26/11/2015,1/12/2015,二级,JE-15745,个人,山东省,FUR-FU-10003194,家具,家具,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,1.54,3.96
80,CA-2017-127208,12/06/2017,15/06/2017,一级,SC-20770,公司,新疆维吾尔自治区,OFF-AP-10002118,办公用品,家电,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,16.65,40.03
81,CA-2017-127208,12/06/2017,15/06/2017,一级,SC-20770,公司,新疆维吾尔自治区,OFF-BI-10002309,办公用品,文件夹,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,1.34,2.69
82,CA-2015-139451,12/10/2015,16/10/2015,标准,DN-13690,个人,广东省,OFF-AR-10002053,办公用品,艺术品,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,1.19,2.81
83,CA-2015-139451,12/10/2015,16/10/2015,标准,DN-13690,个人,广东省,OFF-ST-10002370,办公用品,储存设备,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1.71,3.85
84,CA-2016-149734,3/09/2016,8/09/2016,标准,JC-16105,公司,安徽省,OFF-EN-10000927,办公用品,信封,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,16.08,30.62
85,US-2018-119662,13/11/2018,16/11/2018,一级,CS-12400,家庭办公,河北省,OFF-ST-10003656,办公用品,储存设备,Safco Industrial Wire Shelving,230.376,18.43,37.72
86,CA-2018-140088,28/05/2018,30/05/2018,二级,PO-18865,个人,上海市,FUR-CH-10000863,家具,椅子,Novimex Swivel Fabric Task Chair,301.96,24.16,61.25
87,CA-2018-155558,26/10/2018,2/11/2018,标准,PG-18895,个人,甘肃省,TEC-AC-10001998,电子产品,配件,LogitechÂ LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1.6,2.53
88,CA-2018-155558,26/10/2018,2/11/2018,标准,PG-18895,个人,甘肃省,OFF-LA-10000134,办公用品,标签,Avery 511,6.16,0.49,0.93
89,CA-2017-159695,5/04/2017,10/04/2017,二级,GM-14455,家庭办公,山东省,OFF-ST-10003442,办公用品,储存设备,Eldon Portable Mobile Manager,158.368,12.67,26.89
90,CA-2017-109806,17/09/2017,22/09/2017,标准,JS-15685,公司,广东省,OFF-AR-10004930,办公用品,艺术品,Turquoise Lead Holder with Pocket Clip,20.1,1.61,3.76
91,CA-2017-109806,17/09/2017,22/09/2017,标准,JS-15685,公司,广东省,TEC-PH-10004093,电子产品,电话,Panasonic Kx-TS550,73.584,5.89,9.43
92,CA-2017-109806,17/09/2017,22/09/2017,标准,JS-15685,公司,广东省,OFF-PA-10000304,办公用品,纸张,Xerox 1995,6.48,0.52,1.23
93,CA-2016-149587,31/01/2016,5/02/2016,二级,KB-16315,个人,甘肃省,OFF-PA-10003177,办公用品,纸张,Xerox 1999,12.96,1.04,2.02
94,CA-2016-149587,31/01/2016,5/02/2016,二级,KB-16315,个人,甘肃省,FUR-FU-10003799,家具,家具,"Seth Thomas 13 1/2"" Wall Clock",53.34,4.27,12.38
95,CA-2016-149587,31/01/2016,5/02/2016,二级,KB-16315,个人,甘肃省,OFF-BI-10002852,办公用品,文件夹,Ibico Standard Transparent Covers,32.96,2.64,5.67
96,US-2018-109484,6/11/2018,12/11/2018,标准,RB-19705,家庭办公,天津市,OFF-BI-10004738,办公用品,文件夹,Flexible Leather- Look Classic Collection Ring Binder,5.682,0.45,1.02
97,CA-2018-161018,9/11/2018,11/11/2018,二级,PN-18775,家庭办公,江苏省,FUR-FU-10000629,家具,家具,9-3/4 Diameter Round Wall Clock,96.53,7.72,23.89
98,CA-2018-157833,17/06/2018,20/06/2018,一级,KD-16345,个人,广东省,OFF-BI-10001721,办公用品,文件夹,Trimflex Flexible Post Binders,51.312,4.1,8.83
99,CA-2017-149223,6/09/2017,11/09/2017,标准,ER-13855,公司,甘肃省,OFF-AP-10000358,办公用品,家电,Fellowes Basic Home/Office Series Surge Protectors,77.88,6.23,15.25
100,CA-2017-158568,29/08/2017,2/09/2017,标准,RB-19465,家庭办公,河北省,OFF-PA-10003256,办公用品,纸张,Avery Personal Creations Heavyweight Cards,64.624,5.17,10.88
101,CA-2017-158568,29/08/2017,2/09/2017,标准,RB-19465,家庭办公,河北省,TEC-AC-10001767,电子产品,配件,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,7.68,11.04
102,CA-2017-158568,29/08/2017,2/09/2017,标准,RB-19465,家庭办公,河北省,OFF-BI-10002609,办公用品,文件夹,Avery Hidden Tab Dividers for Binding Systems,1.788,0.14,0.33
103,CA-2017-129903,1/12/2017,4/12/2017,二级,GZ-14470,个人,甘肃省,OFF-PA-10004040,办公用品,纸张,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,1.91,3.93
104,US-2016-156867,13/11/2016,17/11/2016,标准,LC-16870,个人,吉林省,TEC-AC-10001552,电子产品,配件,Logitech K350 2.4Ghz Wireless Keyboard,238.896,19.11,26.23
105,US-2016-156867,13/11/2016,17/11/2016,标准,LC-16870,个人,吉林省,FUR-FU-10004006,家具,家具,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,8.19,24.23
106,US-2016-156867,13/11/2016,17/11/2016,标准,LC-16870,个人,吉林省,OFF-BI-10002794,办公用品,文件夹,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,2.95,6.23
107,CA-2018-119004,23/11/2018,28/11/2018,标准,JM-15250,个人,安徽省,TEC-AC-10003499,电子产品,配件,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,5.93,8.43
108,CA-2018-119004,23/11/2018,28/11/2018,标准,JM-15250,个人,安徽省,TEC-PH-10002844,电子产品,电话,Speck Products Candyshell Flip Case,27.992,2.24,4.11
109,CA-2018-119004,23/11/2018,28/11/2018,标准,JM-15250,个人,安徽省,OFF-AR-10000390,办公用品,艺术品,Newell Chalk Holder,3.304,0.26,0.56
110,CA-2016-129476,15/10/2016,20/10/2016,标准,PA-19060,家庭办公,河北省,TEC-AC-10000844,电子产品,配件,LogitechÂ Gaming G510s - Keyboard,339.96,27.2,44.98
111,CA-2018-146780,25/12/2018,30/12/2018,标准,CV-12805,公司,江苏省,FUR-FU-10001934,家具,家具,Magnifier Swing Arm Lamp,41.96,3.36,10.23
112,CA-2017-128867,3/11/2017,10/11/2017,标准,CL-12565,个人,西藏自治区,OFF-AR-10000380,办公用品,艺术品,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,6.08,14.89
113,CA-2017-128867,3/11/2017,10/11/2017,标准,CL-12565,个人,西藏自治区,OFF-BI-10003981,办公用品,文件夹,"Avery Durable Plastic 1"" Binders",27.24,2.18,5.03
114,CA-2015-115259,25/08/2015,27/08/2015,二级,RC-19960,个人,湖南省,OFF-FA-10000621,办公用品,紧固件,"OIC Colored Binder Clips, Assorted Sizes",40.096,3.21,7.49
115,CA-2015-115259,25/08/2015,27/08/2015,二级,RC-19960,个人,湖南省,OFF-EN-10002600,办公用品,信封,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,0.38,0.87
116,CA-2015-115259,25/08/2015,27/08/2015,二级,RC-19960,个人,湖南省,OFF-PA-10004965,办公用品,纸张,Xerox 1921,23.976,1.92,3.92
117,CA-2015-115259,25/08/2015,27/08/2015,二级,RC-19960,个人,湖南省,OFF-EN-10002504,办公用品,信封,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,10.44,19.66
118,CA-2016-110457,2/03/2016,6/03/2016,标准,DK-13090,个人,江西省,FUR-TA-10001768,家具,桌子,Hon Racetrack Conference Tables,787.53,63,195.25
119,US-2016-136476,5/04/2016,10/04/2016,标准,GG-14650,公司,陕西省,OFF-BI-10003650,办公用品,文件夹,GBC DocuBind 300 Electric Binding Machine,157.794,12.62,24.87
120,CA-2017-103730,12/06/2017,15/06/2017,一级,SC-20725,个人,北京市,FUR-FU-10002157,家具,家具,Artistic Insta-Plaque,47.04,3.76,10.64
121,CA-2017-103730,12/06/2017,15/06/2017,一级,SC-20725,个人,北京市,OFF-BI-10003910,办公用品,文件夹,DXL Angle-View Binders with Locking Rings by Samsill,30.84,2.47,4.74
122,CA-2017-103730,12/06/2017,15/06/2017,一级,SC-20725,个人,北京市,OFF-ST-10000777,办公用品,储存设备,"Companion Letter/Legal File, Black",226.56,18.12,37.65
123,CA-2017-103730,12/06/2017,15/06/2017,一级,SC-20725,个人,北京市,OFF-EN-10002500,办公用品,信封,Globe Weis Peel & Seel First Class Envelopes,115.02,9.2,18.8
124,CA-2017-103730,12/06/2017,15/06/2017,一级,SC-20725,个人,北京市,TEC-PH-10003875,电子产品,电话,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,5.44,8.35
125,US-2015-152030,26/12/2015,28/12/2015,二级,AD-10180,家庭办公,山东省,FUR-CH-10004063,家具,椅子,Global Deluxe High-Back Manager's Chair,600.558,48.04,141.81
126,US-2015-134614,20/09/2015,25/09/2015,标准,PF-19165,个人,河北省,FUR-TA-10004534,家具,桌子,Bevis 44 x 96 Conference Tables,617.7,49.42,125.54
127,US-2018-107272,5/11/2018,12/11/2018,标准,TS-21610,个人,辽宁省,OFF-BI-10003274,办公用品,文件夹,"Avery Durable Slant Ring Binders, No Labels",2.388,0.19,0.4
128,US-2018-107272,5/11/2018,12/11/2018,标准,TS-21610,个人,辽宁省,OFF-ST-10002974,办公用品,储存设备,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,19.52,45.41
129,US-2017-125969,6/11/2017,10/11/2017,二级,LS-16975,家庭办公,广东省,FUR-CH-10001146,家具,椅子,"Global Task Chair, Black",81.424,6.51,19
130,US-2017-125969,6/11/2017,10/11/2017,二级,LS-16975,家庭办公,广东省,FUR-FU-10003773,家具,家具,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,19.08,57.89
131,US-2018-164147,2/02/2018,5/02/2018,一级,DW-13585,公司,湖南省,TEC-PH-10002293,电子产品,电话,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,4.8,8.84
132,US-2018-164147,2/02/2018,5/02/2018,一级,DW-13585,公司,湖南省,OFF-PA-10002377,办公用品,纸张,Xerox 1916,78.304,6.26,12.79
133,US-2018-164147,2/02/2018,5/02/2018,一级,DW-13585,公司,湖南省,OFF-FA-10002780,办公用品,紧固件,Staples,21.456,1.72,3.52
134,CA-2017-145583,13/10/2017,19/10/2017,标准,LC-16885,个人,广东省,OFF-PA-10001804,办公用品,纸张,Xerox 195,20.04,1.6,3.25
135,CA-2017-145583,13/10/2017,19/10/2017,标准,LC-16885,个人,广东省,OFF-PA-10001736,办公用品,纸张,Xerox 1880,35.44,2.84,7.02
136,CA-2017-145583,13/10/2017,19/10/2017,标准,LC-16885,个人,广东省,OFF-AR-10001149,办公用品,艺术品,"Sanford Colorific Colored Pencils, 12/Box",11.52,0.92,2.11
137,CA-2017-145583,13/10/2017,19/10/2017,标准,LC-16885,个人,广东省,OFF-FA-10002988,办公用品,紧固件,Ideal Clamps,4.02,0.32,0.78
138,CA-2017-145583,13/10/2017,19/10/2017,标准,LC-16885,个人,广东省,OFF-BI-10004781,办公用品,文件夹,GBC Wire Binding Strips,76.176,6.09,12.48
139,CA-2017-145583,13/10/2017,19/10/2017,标准,LC-16885,个人,广东省,OFF-SU-10001218,办公用品,供应品,Fiskars Softgrip Scissors,65.88,5.27,12.89
140,CA-2017-145583,13/10/2017,19/10/2017,标准,LC-16885,个人,广东省,FUR-FU-10001706,家具,家具,Longer-Life Soft White Bulbs,43.12,3.45,9.79
141,CA-2017-110366,5/09/2017,7/09/2017,二级,JD-15895,公司,四川省,FUR-FU-10004848,家具,家具,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,6.62,18.17
142,CA-2018-106180,18/09/2018,23/09/2018,标准,SH-19975,公司,广东省,OFF-AR-10000940,办公用品,艺术品,Newell 343,8.82,0.71,1.4
143,CA-2018-106180,18/09/2018,23/09/2018,标准,SH-19975,公司,广东省,OFF-EN-10004030,办公用品,信封,Convenience Packs of Business Envelopes,10.86,0.87,1.71
144,CA-2018-106180,18/09/2018,23/09/2018,标准,SH-19975,公司,广东省,OFF-PA-10004327,办公用品,纸张,Xerox 1911,143.7,11.5,27.74
